iter	Passed	Remaining
0	56	56942
1	57	28561
2	57	19101
3	57	14362
4	57	11523
5	58	9628
6	58	8276
7	58	7261
8	58	6472
9	58	5833
10	59	5316
11	59	4885
12	59	4520
13	59	4208
14	59	3937
15	60	3701
16	60	3493
17	60	3309
18	60	3142
19	61	2994
20	61	2859
21	61	2735
22	61	2623
23	62	2527
24	62	2433
25	62	2346
26	62	2265
27	63	2190
28	63	2119
29	63	2054
30	63	1994
31	64	1937
32	64	1883
33	64	1832
34	64	1784
35	64	1739
36	65	1696
37	65	1655
38	65	1617
39	65	1579
40	66	1544
41	66	1511
42	66	1478
43	66	1448
44	66	1419
45	67	1391
46	67	1365
47	67	1339
48	67	1314
49	67	1291
50	68	1268
51	68	1246
52	68	1225
53	68	1206
54	69	1186
55	69	1171
56	69	1152
57	69	1134
58	70	1117
59	70	1101
60	70	1084
61	70	1069
62	70	1054
63	71	1039
64	71	1025
65	71	1012
66	71	999
67	71	986
68	72	973
69	72	961
70	72	950
71	72	938
72	73	928
73	73	917
74	73	907
75	73	897
76	74	888
77	74	878
78	74	869
79	74	860
80	75	851
81	75	842
82	75	833
83	75	825
84	75	817
85	76	809
86	76	801
87	76	793
88	76	786
89	77	779
90	77	771
91	77	764
92	77	757
93	77	750
94	78	744
95	78	737
96	78	731
97	78	725
98	79	719
99	79	713
100	79	707
101	79	701
102	79	695
103	80	690
104	80	684
105	80	678
106	80	673
107	80	668
108	81	663
109	81	658
110	81	653
111	81	648
112	81	643
113	82	638
114	82	634
115	82	629
116	82	625
117	83	621
118	83	616
119	83	612
120	83	608
121	83	604
122	84	600
123	84	596
124	84	593
125	85	589
126	85	585
127	85	581
128	85	578
129	85	574
130	86	571
131	86	567
132	86	564
133	86	561
134	87	557
135	87	554
136	87	550
137	87	547
138	87	544
139	88	541
140	88	538
141	88	535
142	88	532
143	89	529
144	89	526
145	89	523
146	89	520
147	89	517
148	90	514
149	90	512
150	90	509
151	90	506
152	90	503
153	91	500
154	91	497
155	91	495
156	91	492
157	91	489
158	92	487
159	92	484
160	92	482
161	92	479
162	93	477
163	93	475
164	93	473
165	93	471
166	93	468
167	94	466
168	94	464
169	94	461
170	94	459
171	94	457
172	95	455
173	95	452
174	95	450
175	95	448
176	96	446
177	96	444
178	96	442
179	96	440
180	96	438
181	97	436
182	97	434
183	97	432
184	97	430
185	97	428
186	98	426
187	98	424
188	98	423
189	98	421
190	99	419
191	99	417
192	99	415
193	99	414
194	99	412
195	100	410
196	100	409
197	100	407
198	100	405
199	101	404
200	101	402
201	101	400
202	101	399
203	102	398
204	102	396
205	102	394
206	102	393
207	102	391
208	103	390
209	103	388
210	103	387
211	103	385
212	104	384
213	104	382
214	104	381
215	104	379
216	104	378
217	105	377
218	105	375
219	105	374
220	105	373
221	106	372
222	106	371
223	106	370
224	107	368
225	107	367
226	107	365
227	107	364
228	107	363
229	108	361
230	108	360
231	108	359
232	108	358
233	109	357
234	109	356
235	109	354
236	109	353
237	110	352
238	110	350
239	110	349
240	110	348
241	110	347
242	111	345
243	111	344
244	111	343
245	111	342
246	111	341
247	112	340
248	112	338
249	112	337
250	112	336
251	112	335
252	113	334
253	113	333
254	113	331
255	113	330
256	114	329
257	114	328
258	114	327
259	114	326
260	114	325
261	115	324
262	115	323
263	115	322
264	115	321
265	116	320
266	116	319
267	116	318
268	116	317
269	117	316
270	117	315
271	117	314
272	117	313
273	117	312
274	118	311
275	118	310
276	118	309
277	118	308
278	118	307
279	119	306
280	119	305
281	119	304
282	119	303
283	120	302
284	120	301
285	120	300
286	120	299
287	120	298
288	121	297
289	121	297
290	121	296
291	121	295
292	122	294
293	122	293
294	122	292
295	122	291
296	122	290
297	123	290
298	123	289
299	123	288
300	123	287
301	124	286
302	124	285
303	124	285
304	124	284
305	124	283
306	125	282
307	125	281
308	125	281
309	125	280
310	126	279
311	126	278
312	126	277
313	126	277
314	127	276
315	127	275
316	127	275
317	127	274
318	128	273
319	128	272
320	128	271
321	128	271
322	129	270
323	129	269
324	129	268
325	129	268
326	129	267
327	130	266
328	130	265
329	130	265
330	130	264
331	131	263
332	131	262
333	131	262
334	131	261
335	131	260
336	132	260
337	132	259
338	132	258
339	132	258
340	133	257
341	133	256
342	133	256
343	133	255
344	134	254
345	134	253
346	134	253
347	134	252
348	134	251
349	135	251
350	135	250
351	135	249
352	135	248
353	136	248
354	136	247
355	136	246
356	136	246
357	136	245
358	137	244
359	137	244
360	137	243
361	137	243
362	138	242
363	138	241
364	138	241
365	139	240
366	139	240
367	139	239
368	139	239
369	140	238
370	140	238
371	140	237
372	141	237
373	141	236
374	141	235
375	141	235
376	141	234
377	142	233
378	142	233
379	142	232
380	142	232
381	143	231
382	143	231
383	143	230
384	143	229
385	144	229
386	144	228
387	144	228
388	144	227
389	145	227
390	145	226
391	145	225
392	145	225
393	146	224
394	146	224
395	146	223
396	146	222
397	147	222
398	147	221
399	147	221
400	147	220
401	148	220
402	148	219
403	148	219
404	148	218
405	149	218
406	149	217
407	149	217
408	149	216
409	150	216
410	150	215
411	150	214
412	150	214
413	151	213
414	151	213
415	151	212
416	151	212
417	152	211
418	152	211
419	152	210
420	152	210
421	153	209
422	153	209
423	153	208
424	153	208
425	154	207
426	154	206
427	154	206
428	154	205
429	154	205
430	155	204
431	155	204
432	155	203
433	155	203
434	156	202
435	156	202
436	156	201
437	156	201
438	157	200
439	157	200
440	157	199
441	157	199
442	158	198
443	158	198
444	158	197
445	158	197
446	159	196
447	159	196
448	159	195
449	159	195
450	160	195
451	160	194
452	160	194
453	161	193
454	161	193
455	161	192
456	161	192
457	162	191
458	162	191
459	162	190
460	162	190
461	163	189
462	163	189
463	163	188
464	163	188
465	163	187
466	164	187
467	164	186
468	164	186
469	164	185
470	165	185
471	165	185
472	165	184
473	165	184
474	166	183
475	166	183
476	166	182
477	166	182
478	167	181
479	167	181
480	167	180
481	167	180
482	168	179
483	168	179
484	168	178
485	168	178
486	169	178
487	169	177
488	169	177
489	169	176
490	170	176
491	170	175
492	170	175
493	170	174
494	171	174
495	171	174
496	171	173
497	171	173
498	171	172
499	172	172
500	172	171
501	172	171
502	172	170
503	173	170
504	173	170
505	173	169
506	173	169
507	174	168
508	174	168
509	174	167
510	174	167
511	175	166
512	175	166
513	175	166
514	175	165
515	176	165
516	176	164
517	176	164
518	176	163
519	177	163
520	177	163
521	177	162
522	177	162
523	178	161
524	178	161
525	178	160
526	178	160
527	179	160
528	179	159
529	179	159
530	179	158
531	179	158
532	180	157
533	180	157
534	180	157
535	180	156
536	181	156
537	181	155
538	181	155
539	181	155
540	182	154
541	182	154
542	182	153
543	182	153
544	183	152
545	183	152
546	183	152
547	183	151
548	184	151
549	184	150
550	184	150
551	184	150
552	185	149
553	185	149
554	185	148
555	185	148
556	186	148
557	186	147
558	186	147
559	186	146
560	187	146
561	187	145
562	187	145
563	187	145
564	188	144
565	188	144
566	188	143
567	188	143
568	188	143
569	189	142
570	189	142
571	189	141
572	189	141
573	190	141
574	190	140
575	190	140
576	190	139
577	190	139
578	191	138
579	191	138
580	191	138
581	191	137
582	192	137
583	192	137
584	192	136
585	192	136
586	193	135
587	193	135
588	193	135
589	193	134
590	194	134
591	194	133
592	194	133
593	194	133
594	195	132
595	195	132
596	195	131
597	195	131
598	195	131
599	196	130
600	196	130
601	196	130
602	197	129
603	197	129
604	197	128
605	197	128
606	198	128
607	198	127
608	198	127
609	198	127
610	199	126
611	199	126
612	199	125
613	199	125
614	200	125
615	200	124
616	200	124
617	200	124
618	201	123
619	201	123
620	201	122
621	201	122
622	201	122
623	202	121
624	202	121
625	202	121
626	202	120
627	203	120
628	203	120
629	203	119
630	203	119
631	204	118
632	204	118
633	204	118
634	204	117
635	205	117
636	205	117
637	205	116
638	205	116
639	206	115
640	206	115
641	206	115
642	206	114
643	207	114
644	207	114
645	207	113
646	207	113
647	207	112
648	208	112
649	208	112
650	208	111
651	208	111
652	209	111
653	209	110
654	209	110
655	209	110
656	210	109
657	210	109
658	210	109
659	210	108
660	211	108
661	211	107
662	211	107
663	211	107
664	212	106
665	212	106
666	212	106
667	212	105
668	213	105
669	213	105
670	213	104
671	213	104
672	213	103
673	214	103
674	214	103
675	214	102
676	214	102
677	215	102
678	215	101
679	215	101
680	215	101
681	216	100
682	216	100
683	216	100
684	216	99
685	217	99
686	217	98
687	217	98
688	217	98
689	217	97
690	218	97
691	218	97
692	218	96
693	218	96
694	219	96
695	219	95
696	219	95
697	219	95
698	220	94
699	220	94
700	220	94
701	220	93
702	221	93
703	221	93
704	221	92
705	221	92
706	222	92
707	222	91
708	222	91
709	222	91
710	223	90
711	223	90
712	223	89
713	223	89
714	223	89
715	224	88
716	224	88
717	224	88
718	224	87
719	225	87
720	225	87
721	225	86
722	225	86
723	226	86
724	226	85
725	226	85
726	226	85
727	227	84
728	227	84
729	227	84
730	227	83
731	228	83
732	228	83
733	228	82
734	228	82
735	229	82
736	229	81
737	229	81
738	229	81
739	229	80
740	230	80
741	230	80
742	230	79
743	230	79
744	231	79
745	231	78
746	231	78
747	231	78
748	232	77
749	232	77
750	232	77
751	232	76
752	233	76
753	233	76
754	233	75
755	233	75
756	233	75
757	234	74
758	234	74
759	234	74
760	234	73
761	235	73
762	235	73
763	235	72
764	235	72
765	236	72
766	236	71
767	236	71
768	236	71
769	237	70
770	237	70
771	237	70
772	237	69
773	238	69
774	238	69
775	238	68
776	238	68
777	238	68
778	239	67
779	239	67
780	239	67
781	239	66
782	240	66
783	240	66
784	240	65
785	240	65
786	241	65
787	241	64
788	241	64
789	241	64
790	242	63
791	242	63
792	242	63
793	242	62
794	242	62
795	243	62
796	243	62
797	243	61
798	243	61
799	244	61
800	244	60
801	244	60
802	245	60
803	245	59
804	245	59
805	245	59
806	246	58
807	246	58
808	246	58
809	246	57
810	247	57
811	247	57
812	247	56
813	247	56
814	248	56
815	248	55
816	248	55
817	248	55
818	249	55
819	249	54
820	249	54
821	249	54
822	249	53
823	250	53
824	250	53
825	250	52
826	250	52
827	251	52
828	251	51
829	251	51
830	251	51
831	252	50
832	252	50
833	252	50
834	252	49
835	253	49
836	253	49
837	253	49
838	253	48
839	254	48
840	254	48
841	254	47
