iter	RMSE
0	14.62979627
1	14.2700418
2	13.92841965
3	13.58923695
4	13.28687912
5	12.96391129
6	12.66888452
7	12.37894483
8	12.06486981
9	11.77164901
10	11.52465496
11	11.26658383
12	11.0270583
13	10.82150523
14	10.6073429
15	10.3861972
16	10.17004191
17	9.970463511
18	9.799174809
19	9.628783023
20	9.43829021
21	9.289423067
22	9.115283976
23	8.947238034
24	8.792832127
25	8.654846786
26	8.527519927
27	8.381781418
28	8.245628716
29	8.139943399
30	8.032737772
31	7.927976114
32	7.820616381
33	7.724817838
34	7.640124395
35	7.554410479
36	7.471099147
37	7.386152522
38	7.297305037
39	7.220573514
40	7.13033817
41	7.052768401
42	6.977611992
43	6.918189242
44	6.852425371
45	6.779175022
46	6.715794088
47	6.657179582
48	6.597486352
49	6.546361502
50	6.481105147
51	6.428677929
52	6.37724454
53	6.333575979
54	6.28537208
55	6.245870098
56	6.213232415
57	6.16720221
58	6.134322875
59	6.099828744
60	6.05764246
61	6.027083642
62	5.993894396
63	5.963942293
64	5.931931858
65	5.902519788
66	5.875245219
67	5.84967193
68	5.819314727
69	5.797747279
70	5.778253004
71	5.758620501
72	5.735409015
73	5.716917162
74	5.696475631
75	5.673647406
76	5.650298403
77	5.629433813
78	5.612581447
79	5.59287605
80	5.576515561
81	5.56135435
82	5.555837139
83	5.540000908
84	5.526910776
85	5.511156438
86	5.493323641
87	5.476177183
88	5.464368894
89	5.450322039
90	5.438581572
91	5.426341177
92	5.418621112
93	5.407745934
94	5.397236095
95	5.387531701
96	5.376612495
97	5.366590001
98	5.357341663
99	5.348206798
100	5.338774374
101	5.329274812
102	5.320766436
103	5.313541018
104	5.306990597
105	5.302526873
106	5.294884129
107	5.287458451
108	5.277161303
109	5.267896232
110	5.262340272
111	5.255489534
112	5.25013579
113	5.245491061
114	5.23513725
115	5.225406838
116	5.221564726
117	5.214748471
118	5.207374299
119	5.200724028
120	5.196220176
121	5.190340015
122	5.185051571
123	5.180864886
124	5.172286012
125	5.165588526
126	5.159877393
127	5.15588706
128	5.152627284
129	5.147832034
130	5.139970113
131	5.133020056
132	5.128722477
133	5.125358336
134	5.122795554
135	5.119740424
136	5.111885005
137	5.104036123
138	5.099964088
139	5.097723868
140	5.091865742
141	5.08686869
142	5.083795193
143	5.078084783
144	5.075675585
145	5.070097787
146	5.06602793
147	5.059785597
148	5.054411689
149	5.049551292
150	5.047000097
151	5.043267871
152	5.041220911
153	5.037706604
154	5.034618422
155	5.032859038
156	5.028071663
157	5.024558877
158	5.02040494
159	5.015356992
160	5.010454459
161	5.006011048
162	5.004951422
163	5.002500331
164	5.001321703
165	4.997580849
166	4.993288307
167	4.988280812
168	4.986569334
169	4.984191506
170	4.980287131
171	4.977620239
172	4.974833805
173	4.972639579
174	4.968668901
175	4.964110896
176	4.960660161
177	4.957634205
178	4.955142797
179	4.949292104
180	4.943858739
181	4.939904492
182	4.938083923
183	4.933283878
184	4.92830029
185	4.925427376
186	4.922194413
187	4.919503816
188	4.915240043
189	4.908681268
190	4.906010163
191	4.90347044
192	4.896610359
193	4.892398786
194	4.888786575
195	4.886025759
196	4.883532863
197	4.881449082
198	4.878732755
199	4.873556883
200	4.871514383
201	4.869572407
202	4.863971156
203	4.860664194
204	4.857356711
205	4.853757096
206	4.847273418
207	4.842606447
208	4.83530359
209	4.832421851
210	4.828492499
211	4.821683177
212	4.818218451
213	4.814728442
214	4.812645529
215	4.806930082
216	4.80356583
217	4.79786366
218	4.794204628
219	4.78834865
220	4.784351657
221	4.782534471
222	4.774491353
223	4.772118409
224	4.768163636
225	4.766326491
226	4.764141389
227	4.759345289
228	4.755930782
229	4.752335746
230	4.748884975
231	4.746842564
232	4.744099795
233	4.740199476
234	4.738414635
235	4.733515433
236	4.731114481
237	4.728812389
238	4.722886102
239	4.720276163
240	4.718418466
241	4.716846008
242	4.714231897
243	4.712028971
244	4.709396722
245	4.706935254
246	4.704651778
247	4.702046386
248	4.699040493
249	4.693829337
250	4.691997258
251	4.686825816
252	4.682851212
253	4.680875981
254	4.677182505
255	4.672947898
256	4.666250311
257	4.66498916
258	4.66040914
259	4.658795611
260	4.656260116
261	4.650544477
262	4.649719418
263	4.645083749
264	4.639438125
265	4.634054426
266	4.629802975
267	4.62675833
268	4.625445797
269	4.623407331
270	4.619423038
271	4.612303182
272	4.611193169
273	4.60886411
274	4.603401509
275	4.598707033
276	4.596498454
277	4.59147008
278	4.58702207
279	4.582233854
280	4.580258093
281	4.575143391
282	4.572218993
283	4.568019308
284	4.566923857
285	4.564341606
286	4.558697479
287	4.555436023
288	4.552476212
289	4.550596988
290	4.546123802
291	4.544944869
292	4.539093902
293	4.534232169
294	4.530372312
295	4.528446662
296	4.52582307
297	4.522831968
298	4.517922522
299	4.516332129
300	4.513240244
301	4.511434613
302	4.509878202
303	4.50512978
304	4.50318409
305	4.498715742
306	4.496839623
307	4.493080328
308	4.490132337
309	4.486074195
310	4.480796615
311	4.479468334
312	4.474514564
313	4.472273555
314	4.470560039
315	4.466134496
316	4.465066195
317	4.462285643
318	4.460548494
319	4.458593161
320	4.454962933
321	4.45436067
322	4.45103114
323	4.449174904
324	4.446835111
325	4.442810226
326	4.438310847
327	4.436568195
328	4.432481906
329	4.428320747
330	4.425872181
331	4.421352504
332	4.420436233
333	4.418500304
334	4.416179617
335	4.414139046
336	4.411509334
337	4.409831852
338	4.40818697
339	4.406389
340	4.401639125
341	4.399678577
342	4.398550275
343	4.395891539
344	4.391276655
345	4.390730286
346	4.386602864
347	4.381717054
348	4.3774327
349	4.375234894
350	4.372369421
351	4.370085529
352	4.365977571
353	4.36264375
354	4.360722585
355	4.358949449
356	4.358424158
357	4.352769119
358	4.351185928
359	4.346741871
360	4.34463605
361	4.340472105
362	4.33579606
363	4.332332387
364	4.328470032
365	4.326985602
366	4.324589959
367	4.323506905
368	4.320475952
369	4.317062244
370	4.314758727
371	4.31212058
372	4.310567554
373	4.306895247
374	4.306492544
375	4.304930554
376	4.301181458
377	4.298642551
378	4.29414188
379	4.290267898
380	4.285423822
381	4.282943375
382	4.281353361
383	4.278319175
384	4.274642136
385	4.270613896
386	4.265639761
387	4.263352977
388	4.259230663
389	4.257574727
390	4.254541029
391	4.25381957
392	4.251975343
393	4.247533196
394	4.246472326
395	4.242270415
396	4.238714108
397	4.235660934
398	4.231799123
399	4.229687174
400	4.228201864
401	4.227471829
402	4.223782768
403	4.222423524
404	4.218156057
405	4.213149334
406	4.209573301
407	4.206955174
408	4.205667386
409	4.202087271
410	4.199498299
411	4.198317668
412	4.196994389
413	4.19576019
414	4.192858703
415	4.189021828
416	4.185808887
417	4.183534838
418	4.183083088
419	4.181228148
420	4.179895428
421	4.178728256
422	4.177335545
423	4.175064584
424	4.173418076
425	4.16979068
426	4.166327455
427	4.164046456
428	4.161388298
429	4.157044656
430	4.15501773
431	4.153986417
