iter	Passed	Remaining
0	0	346
1	0	258
2	0	226
3	0	214
4	1	209
5	1	204
6	1	198
7	1	199
8	1	202
9	2	202
10	2	200
11	2	199
12	2	199
13	2	199
14	3	198
15	3	197
16	3	197
17	3	193
18	3	191
19	3	187
20	4	187
21	4	187
22	4	199
23	4	197
24	5	198
25	5	197
26	5	194
27	5	197
28	5	196
29	6	196
30	6	195
31	6	195
32	6	195
33	6	192
34	6	191
35	7	189
36	7	189
37	7	188
38	7	188
39	7	187
40	8	188
41	8	188
42	8	188
43	8	188
44	8	187
45	9	188
46	9	189
47	9	188
48	9	187
49	9	187
50	10	186
51	10	186
52	10	186
53	10	186
54	10	187
55	11	187
56	11	186
57	11	186
58	11	185
59	11	185
60	12	185
61	12	184
62	12	184
63	12	184
64	12	184
65	13	185
66	13	184
67	13	184
68	13	183
69	13	183
70	13	182
71	14	183
72	14	183
73	14	182
74	14	182
75	14	182
76	15	181
77	15	181
78	15	182
79	15	183
80	16	183
81	16	182
82	16	181
83	16	183
84	17	183
85	17	183
86	17	182
87	17	182
88	18	184
89	18	184
90	18	184
91	18	184
92	18	183
93	19	183
94	19	182
95	19	182
96	19	182
97	19	181
98	19	181
99	20	181
100	20	181
101	20	180
102	20	180
103	20	179
104	21	179
105	21	178
106	21	178
107	21	177
108	21	177
109	21	177
110	22	176
111	22	176
112	22	176
113	22	175
114	22	175
115	22	175
116	23	174
117	23	174
118	23	174
119	23	174
120	24	175
121	24	175
122	24	176
123	25	177
124	25	177
125	25	177
126	25	177
127	26	177
128	26	177
129	26	176
130	26	176
131	26	176
132	26	175
133	27	175
134	27	174
135	28	178
136	28	178
137	28	177
138	28	178
139	28	178
140	29	177
141	29	177
142	29	176
143	29	176
144	29	176
145	30	176
146	30	175
147	30	175
148	30	175
149	30	174
150	31	174
151	31	174
152	31	173
153	31	173
154	31	172
155	31	172
156	32	171
157	32	171
158	32	171
159	32	171
160	32	171
161	33	171
162	33	170
163	33	170
164	33	169
165	33	169
166	33	169
167	34	168
168	34	168
169	34	167
170	34	167
171	34	167
172	34	167
173	35	166
174	35	166
175	35	166
176	35	165
177	35	165
178	36	165
179	36	164
180	36	164
181	36	164
182	36	164
183	37	164
184	37	164
185	37	163
186	37	163
187	37	163
188	38	163
189	38	162
190	38	162
191	38	162
192	38	162
193	39	162
194	39	162
195	39	163
196	40	163
197	40	162
198	40	162
199	40	162
200	40	162
201	41	162
202	41	161
203	41	161
204	41	161
205	41	161
206	41	160
207	42	160
208	42	160
209	42	159
210	42	159
211	42	159
212	43	159
213	43	158
214	43	158
215	43	158
216	43	157
217	43	157
218	44	157
219	44	157
220	44	156
221	44	156
222	44	156
223	45	156
224	45	155
225	45	155
226	45	155
227	45	155
228	45	154
229	46	154
230	46	154
231	46	153
232	46	153
233	46	153
234	47	153
235	47	152
236	47	152
237	47	152
238	47	151
239	47	151
240	48	151
241	48	151
242	48	150
243	48	150
244	48	150
245	48	150
246	49	149
247	49	149
248	49	149
249	49	148
250	49	148
251	49	148
252	50	148
253	50	147
254	50	147
255	50	147
256	50	147
257	51	146
258	51	146
259	51	146
260	51	146
261	51	145
262	51	145
263	52	145
264	52	145
265	52	144
266	52	144
267	52	144
268	53	144
269	53	143
270	53	143
271	53	143
272	53	143
273	54	143
274	54	142
275	54	142
276	54	142
277	54	142
278	55	142
279	55	142
280	55	142
281	55	141
282	55	141
283	56	141
284	56	140
285	56	140
286	56	140
287	56	140
288	56	140
289	57	139
290	57	139
291	57	139
292	57	139
293	57	138
294	58	138
295	58	138
296	58	138
297	58	137
298	58	137
299	58	137
300	59	137
301	59	137
302	59	136
303	59	136
304	59	136
305	60	136
306	60	135
307	60	135
308	60	135
309	60	135
310	60	134
311	60	134
312	61	134
313	61	134
314	61	134
315	61	133
316	62	133
317	62	133
318	62	133
319	62	132
320	62	132
321	62	132
322	63	132
323	63	131
324	63	131
325	63	131
326	63	131
327	63	130
328	64	130
329	64	130
330	64	130
331	64	130
332	64	129
333	64	129
334	65	129
335	65	129
336	65	129
337	65	129
338	66	128
339	66	128
340	66	128
341	66	128
342	66	127
343	66	127
344	67	127
345	67	127
346	67	127
347	67	126
348	67	126
349	68	126
350	68	126
351	68	126
352	68	125
353	68	125
354	69	125
355	69	125
356	69	125
357	69	124
358	69	124
359	69	124
360	70	124
361	70	124
362	70	124
363	70	123
364	71	123
365	71	123
366	71	123
367	71	123
368	72	123
369	72	123
370	72	122
371	72	122
372	72	122
373	72	122
374	73	121
375	73	121
376	73	121
377	73	121
378	73	121
379	74	120
380	74	120
381	74	120
382	74	120
383	74	120
384	75	119
385	75	119
386	75	119
387	75	119
388	75	119
389	75	118
390	76	118
391	76	118
392	76	118
393	76	117
394	76	117
395	76	117
396	77	117
397	77	116
398	77	116
399	77	116
400	77	116
401	78	116
402	78	115
403	78	115
404	78	115
405	78	115
406	78	115
407	79	114
408	79	114
409	79	114
410	79	114
411	79	114
412	80	113
413	80	113
414	80	113
415	80	113
416	80	113
417	81	112
418	81	112
419	81	112
420	81	112
421	81	111
422	81	111
423	82	111
424	82	111
425	82	111
426	82	110
427	82	110
428	82	110
429	83	110
430	83	109
431	83	109
432	83	109
433	83	109
434	83	109
435	84	108
436	84	108
437	84	108
438	84	108
439	84	108
440	85	107
441	85	107
442	85	107
443	85	107
444	85	107
445	86	106
446	86	106
447	86	106
448	86	106
449	86	106
450	86	105
451	87	105
452	87	105
453	87	105
454	87	105
455	87	104
456	88	104
457	88	104
458	88	104
459	88	104
460	88	103
461	88	103
462	89	103
463	89	103
464	89	103
465	89	102
466	90	102
467	90	102
468	90	102
469	90	102
470	90	101
471	90	101
472	91	101
473	91	101
474	91	101
475	91	100
476	91	100
477	92	100
478	92	100
479	92	100
